"Sample","site","chamberID","year","mon","mday","gasName","Location","SampleType","Run","id.x","time_label","peakArea","fname","Known.conc","id.y","diameter_cm","height_cm","area_m2","volume_m3","lon","lat","Easting","Northing","mmntID","date","startTime","Soil_moisture_.","Nitrate_conc_g_kg","Pressure","Temp","GC_filename.x","time_mins.x","sampleName.x","GC_filename.y","time_mins.y","sampleName.y","GC_filename","time_mins","sampleName","Sec"
"12","EB","03",2013,6,6,"CH4","P1-B-08",1,17,17,45,4.19141530990601,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,26.32,0.125036173011037,0.032909520736505,-3,56,5e+05,6e+05,"EB_2013_06_06_03",2013-06-06,1899-12-31 10:28:00,36.3,2,1000,16.1,"S:\GC\James_2013_06_06.xls",43,"EB_2013_06_06_03_45","S:\GC\James_2013_06_06.xls",43,"EB_2013_06_06_03_45","S:\GC\James_2013_06_06.xls",43,"EB_2013_06_06_03_45",2580
"12","EB","03",2013,6,6,"CO2","P1-B-08",1,17,17,45,116.311904907227,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,26.32,0.125036173011037,0.032909520736505,-3,56,5e+05,6e+05,"EB_2013_06_06_03",2013-06-06,1899-12-31 10:28:00,36.3,2,1000,16.1,"S:\GC\James_2013_06_06.xls",43,"EB_2013_06_06_03_45","S:\GC\James_2013_06_06.xls",43,"EB_2013_06_06_03_45","S:\GC\James_2013_06_06.xls",43,"EB_2013_06_06_03_45",2580
"13","EB","04",2013,6,6,"CH4","P1-C-01",1,18,18,0,4.3633074760437,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,25.16,0.125036173011037,0.0314591011295769,-3,56,5e+05,6e+05,"EB_2013_06_06_04",2013-06-06,1899-12-31 10:30:00,40.9,3,1000,15.9,"S:\GC\James_2013_06_06.xls",0,"EB_2013_06_06_04_00","S:\GC\James_2013_06_06.xls",0,"EB_2013_06_06_04_00","S:\GC\James_2013_06_06.xls",0,"EB_2013_06_06_04_00",0
"13","EB","04",2013,6,6,"N2O","P1-C-01",1,18,18,0,76.9921798706055,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,25.16,0.125036173011037,0.0314591011295769,-3,56,5e+05,6e+05,"EB_2013_06_06_04",2013-06-06,1899-12-31 10:30:00,40.9,3,1000,15.9,"S:\GC\James_2013_06_06.xls",0,"EB_2013_06_06_04_00","S:\GC\James_2013_06_06.xls",0,"EB_2013_06_06_04_00","S:\GC\James_2013_06_06.xls",0,"EB_2013_06_06_04_00",0
"13","EB","04",2013,6,6,"CO2","P1-C-01",1,18,18,0,111.42219543457,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,25.16,0.125036173011037,0.0314591011295769,-3,56,5e+05,6e+05,"EB_2013_06_06_04",2013-06-06,1899-12-31 10:30:00,40.9,3,1000,15.9,"S:\GC\James_2013_06_06.xls",0,"EB_2013_06_06_04_00","S:\GC\James_2013_06_06.xls",0,"EB_2013_06_06_04_00","S:\GC\James_2013_06_06.xls",0,"EB_2013_06_06_04_00",0
"14","EB","04",2013,6,6,"CH4","P1-C-02",1,19,19,15,4.40327787399292,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,25.16,0.125036173011037,0.0314591011295769,-3,56,5e+05,6e+05,"EB_2013_06_06_04",2013-06-06,1899-12-31 10:30:00,40.9,3,1000,15.9,"S:\GC\James_2013_06_06.xls",14,"EB_2013_06_06_04_15","S:\GC\James_2013_06_06.xls",14,"EB_2013_06_06_04_15","S:\GC\James_2013_06_06.xls",14,"EB_2013_06_06_04_15",840
"14","EB","04",2013,6,6,"CO2","P1-C-02",1,19,19,15,116.151519775391,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,25.16,0.125036173011037,0.0314591011295769,-3,56,5e+05,6e+05,"EB_2013_06_06_04",2013-06-06,1899-12-31 10:30:00,40.9,3,1000,15.9,"S:\GC\James_2013_06_06.xls",14,"EB_2013_06_06_04_15","S:\GC\James_2013_06_06.xls",14,"EB_2013_06_06_04_15","S:\GC\James_2013_06_06.xls",14,"EB_2013_06_06_04_15",840
"14","EB","04",2013,6,6,"N2O","P1-C-02",1,19,19,15,87.8828735351562,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,25.16,0.125036173011037,0.0314591011295769,-3,56,5e+05,6e+05,"EB_2013_06_06_04",2013-06-06,1899-12-31 10:30:00,40.9,3,1000,15.9,"S:\GC\James_2013_06_06.xls",14,"EB_2013_06_06_04_15","S:\GC\James_2013_06_06.xls",14,"EB_2013_06_06_04_15","S:\GC\James_2013_06_06.xls",14,"EB_2013_06_06_04_15",840
"15","EB","04",2013,6,6,"CH4","P1-C-03",1,20,20,30,4.27377128601074,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,25.16,0.125036173011037,0.0314591011295769,-3,56,5e+05,6e+05,"EB_2013_06_06_04",2013-06-06,1899-12-31 10:30:00,40.9,3,1000,15.9,"S:\GC\James_2013_06_06.xls",32,"EB_2013_06_06_04_30","S:\GC\James_2013_06_06.xls",32,"EB_2013_06_06_04_30","S:\GC\James_2013_06_06.xls",32,"EB_2013_06_06_04_30",1920
"15","EB","04",2013,6,6,"N2O","P1-C-03",1,20,20,30,109.677757263184,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,25.16,0.125036173011037,0.0314591011295769,-3,56,5e+05,6e+05,"EB_2013_06_06_04",2013-06-06,1899-12-31 10:30:00,40.9,3,1000,15.9,"S:\GC\James_2013_06_06.xls",32,"EB_2013_06_06_04_30","S:\GC\James_2013_06_06.xls",32,"EB_2013_06_06_04_30","S:\GC\James_2013_06_06.xls",32,"EB_2013_06_06_04_30",1920
